,tweet
33,"@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Maaf, gak punya."
34,"@geloraco MUSUH KITA PEMIMPIN YG ZHOLIM PAK @prabowo ,, UNTUK NYERANG SIAPA JET TEMPUR ITU? 😟"
35,@PrimeFinance_ @jokowi @prabowo @LunaMaya26
36,@mistersaeful @prabowo @cakimiNOW @EmHasanuddin @DPP_PKB @anggiaermarini @enungmaryati2 @voiceofpkb @Gerindra @billy4riez Siap mengawal sampai jadi
37,@MSApunya @prabowo Ogah banget
38,"@IiiZahrah @MariaAlcaff @ORakyat4 @Matahari_1912 @rezimbiadap @Alismar89937714 @panjul_02 @Bund_arissa_ @clina009 @balagadona99 @DevaSudrajat1 @Muslim_AntiPKI2 @prabowo @Kiyai_MarufAmin @ganjarpranowo Kalau buat perang, anti pukul Anti tembak pakai Lembu Sekilan💪💪💪😆"
39,@tweetmiliter @jokowi @prabowo @rianernesto Partai Sino-Indonesia  https://t.co/Ue3YOnTX85
40,Mantap nih pa @prabowo 👊🇲🇨  Taruna2 RI bisa sekolah di Akademi Militer Prancis 🥰  https://t.co/xyHhwlAQtL
41,Survei: Elektabilitas Prabowo Subianto Konsisten Teratas  https://t.co/meobBgewsL
42,"@aryobimmo @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 sekalian dong cari peebandingan uang pengadaan pertahanan negara tersebut, pada kecil gk ? lol 😁😁 udah data gk relevan cherry picking yg sesuai narasi aja. bener gk ada beda nya ahahahah"
43,@aryobimmo @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 wes angel gk ono beda ne ambe senior2 e.
44,"@aryobimmo @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 lol jgn malu2in ah, data apbn 2020 kok jd dasar. ini udah apbn 2022. mana dibandingin sama negara maju. duhhhhhhh"
45,@DittoRadhitya @Kemhan_RI @prabowo @florence_parly @PTPAL_INDONESIA @officialptdi @LenIndustri @pindad mungkin ini asn kemhan atau tni yang dinas di kemhan atau denwal kemhan atau bisa juga pasukan garuda yaksa (pasukan partai pak prabowo)
46,"Konsisten meraih popularitas dalam survei calon presiden, pesona Prabowo Subianto memang tak bisa dianggap sebelah mata. Politisi senior ini, selalu mantap bertengger di posisi tiga besar. Tapi, jangan pula remehkan kandidat lain.."
47,"Lalu kapan Gerindra akan mengumumkannya?  “Nah, kalau memang beliau menerima, maka dalam rapimnas itu kita akan tetapkan Prabowo Subianto sebagai calon presiden 2024 nanti,” ucap Harris Bobihoe, Sekretaris Partai Gerindra Jawa Barat."
48,"Setelah itu, DPP Partai Gerindra akan mempertimbangkan dan memutuskan, apakah kandidat itu layak atau tidak menjadi capres.  Sejauh ini, dari 30 daerah, nama Prabowo Subianto hanya satu-satunya yang disebut. Tak ada nama lain.."
49,"Sekretaris Partai Gerindra Jawa Barat, Harris Bobihoe menyatakan Jawa Barat adalah lumbung suara Prabowo.  “Kami di Jawa Barat merupakan lumbung suara Pak Prabowo Subianto pada pilpres yang lalu. Kemudian juga, Partai Gerindra di Jawa Barat memenangkan dalam pilegnya.""  https://t.co/88zuS40Pjg"
