,tweet
156,@aryobimmo @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 tunjukkin lah PSI itu benar pembeda. kalo setiap ada partai baru ujung2nya bikin isu yang gk membangun buat apa? emang negara kita tidak ngluarin uang buat covid? kan enggak. tolonglah.
157,"@Kinanti_mhrni @Kemhan_RI @prabowo Visi keren pak. Menatap jauh ke depan, hadapi ancaman dengan menyiapkan kekuatan kita"
158,@SorayaNatashya @Kemhan_RI @prabowo Aduhhh.. Gentle sekali Pak Prabowo ini..   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
159,"@Ebn_banten1 @prabowo @Kemhan_RI Keren, Pemerintah melakukan keputusan strategis dengan rencananya memboyong 42 Rafale dan dua Scorpene dari Prancis. Visi Keren @prabowo Subianto. @Kemhan_RI  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
160,@SofiaMawa @prabowo @Kemhan_RI Mantap pak.... Perkuat pertahanan negara
161,@SorayaNatashya @Kemhan_RI @prabowo So sweettt...   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
162,@aryobimmo @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 liat rusia dan ukraina akhirnya meledak konfliknya. di lcs pun bakal sama bisa kapanpun. beli pesawat tempur itu butuh proses bertahun2.
163,@HanipSinta @Kemhan_RI @prabowo Agar canggih butuh fiskal yang memadai. Tidak apa demi kebaikan bangsa
164,"@Kbn_Sulbar @prabowo @Kemhan_RI Masih menjadi misteri bagiku, siapa pencetus awal mula penggunaan kata ""detik-detik"" yang selalu menjadi judul berita."
165,@kantaohe @Kemhan_RI @prabowo  https://t.co/REW2j5OIRq
166,@Kinanti_mhrni @yuni_eka74 @Kemhan_RI @prabowo Setuju. Ini pilihan tepat buat bangsa dan negara
167,@kantaohe @Kemhan_RI @prabowo  https://t.co/1aUrOrR10j
168,@AlumniJabar1 @prabowo @Kemhan_RI Betul nih. bukan tugas mudah untuk mengawal modernisasi persenjataan perang Indonesia. Visi Keren @prabowo Subianto. @Kemhan_RI  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
169,@Kinanti_mhrni @Kemhan_RI @prabowo Hadapi ancaman dengan menata kesiapan alutsista kita. Keren.
170,@AmaliahAnjari @Kemhan_RI @prabowo Kerennn Pak..   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
171,@mahesuheee @Kemhan_RI @prabowo  https://t.co/CNecHK1Fch
172,@mahesuheee @Kemhan_RI @prabowo  https://t.co/ripM98MxQz
173,"@AlumniJatim2 @prabowo @Kemhan_RI Salut, bukan pekerjaan gampang untuk membangun modernisasi persenjataan tempur Indonesia. Visi Keren @prabowo Subianto. @Kemhan_RI  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
174,"Ok banget, Visi Keren Prabowo Subianto, bisa membangun alutsista dengan kemampuan canggih dan bisa digunakan untuk semua misi dan efektif.  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat  @Kemhan_RI  @prabowo"
175,@Atoariii @Kemhan_RI @prabowo  https://t.co/IZCcH8MoST
176,@Belneg_INT @prabowo @Kemhan_RI Nasib jet tempur KF-21 boramae kerja sama dengan Korea gimana nie bro?
177,@yuni_eka74 @Kemhan_RI @prabowo Visi keren. Terobosan ini segera terasakan manfaatnya bagi rakyat
178,@Atoariii @Kemhan_RI @prabowo  https://t.co/NZkDlignSl
179,"@Ebn_jateng @prabowo @Kemhan_RI Tuips, Dibutuhkan ruang fiskal yang memadai menjawab mimpi rakyat agar TNI dapat menggunakan alutsista yg modern. Visi Keren @prabowo Subianto. @Kemhan_RI  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
180,@Adamidri @Kemhan_RI @prabowo  https://t.co/tMthhVBzR6
181,@AnnisaNurizky2 @Kemhan_RI @prabowo Terus lengkapi persenjataan kita Pak..   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
182,@Adamidri @Kemhan_RI @prabowo  https://t.co/ExZLRaIgIt
183,@LennyNurlianti @Kemhan_RI @prabowo Nusantara begitu luas. Butuh visi keren agar nusantara aman dan kuat
184,"@Ebnjakarta1 @prabowo @Kemhan_RI frend, Dibutuhkan ruang fiskal yang lega menjawab kemauan rakyat agar TNI dapat memakai alutsista yg mumpuni. Visi Keren @prabowo Subianto. @Kemhan_RI  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
185,@sandiidim @Kemhan_RI @prabowo  https://t.co/toktpAdte8
186,@sandiidim @Kemhan_RI @prabowo  https://t.co/QpgyyjStD3
187,@Aditadrian12 @Kemhan_RI @prabowo Sungguh mantap pemimpin kita kakak
188,"@ilyas_dody @Kemhan_RI @prabowo Pertahana  negara harus, diperkuat untuk Indonesia yang berdaulat"
189,@ubensohibb @Kemhan_RI @prabowo  https://t.co/OXhZfe9dcn
190,@MarniNurliza @Kemhan_RI @prabowo Butuh pemimpin cerdas agar Indonesia kuat. Bravo pak
191,@VaniaDelicia7 @Kemhan_RI @prabowo Demi pertahanan keamanan negara kenapa tidak?   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
192,"@AlumniJatim2 @prabowo @Kemhan_RI Yess, Indonesia menjalankan cara penting dengan rencananya membawa 42 Rafale dan dua Scorpene dari Prancis. Visi Keren @prabowo Subianto. @Kemhan_RI  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
193,@ubensohibb @Kemhan_RI @prabowo  https://t.co/Eg5KGOVWEw
194,"@aryobimmo @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 bahkan thailand yang potensi pertahananyya lebih ""kecil"" punya airforce lebih banyak dari indonesia yang dimana luas wilayah thailand ""hanya"" 0.07 dari luas wilayah indonesoa"
195,@VaniaDelicia7 @Kemhan_RI @prabowo Wawww.. Keren Pak..   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
196,@IdrissJaman @Kemhan_RI @prabowo  https://t.co/DAOe1mWh9y
197,@IdrissJaman @Kemhan_RI @prabowo  https://t.co/BVzWwl7aUk
198,@DekaPitri @Kemhan_RI @prabowo Terus bergerak berjuang bersama Pak..   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
199,@DekaPitri @Kemhan_RI @prabowo Setuju sekali...   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
200,@Ebn_banten1 @prabowo @Kemhan_RI Betul nih. bukan hal mudah untuk memastikan memperbaharui persenjataan perang Indonesia. Visi Keren @prabowo Subianto. @Kemhan_RI  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
201,Bray Nusantara menghadapi tantangan da ancaman yg tidak kecil dari dalam maupun dari luar. Visi Keren Prabowo Subianto  @Kemhan_RI  @prabowo
202,@Kinanti_mhrni @Kemhan_RI @prabowo Berharap alutsista kita dapat menangkal ancaman dari dalam maupun dari luar. Maju terus pak
203,@HennyPurn @Kemhan_RI @prabowo Bagus Pak.. Demi keamanan negara..   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
204,@HindianiTika @Kemhan_RI @prabowo Dukung  Pak Prabowo. Langkah besar menuju Indonesia kuat
205,@HennyPurn @Kemhan_RI @prabowo Ini baru mantappp..   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
206,@shda_agatha_ @KakekHalal @MudasirRomini @dennysirregar7 @prabowo Dari group ga ad info?
207,"Top, bukan pekerjaan gampang untuk membangun modernisasi persenjataan perang Indonesia. Visi  Keren Prabowo Subianto.   @prabowo @Kemhan_RI"
208,@AllysaNursyafa1 @Kemhan_RI @prabowo Love it.. Like it..   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
209,@AllysaNursyafa1 @Kemhan_RI @prabowo Bagus kinerjanya Pak Prabowo  @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
210,@AyuSart03792531 @Kemhan_RI @prabowo Wesss... Keren banget ini...   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
211,"Resmi‼️Pemerintah Indonesia Lewat Kemenhan membeli 42 Jet tempur Refale Prancis.   Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat , Mantap Gaspoll Kita bisa membawa Indoneska Kuat dan Macan Asia. @Kemhan_RI @prabowo  https://t.co/YRellaXZzd"
212,@MSApunya @RachmatBawono @prabowo Ogah sekarang mah
213,"Keren nih, Visi Keren Prabowo Subianto, mampu memperkokoh persenjataan dengan kemampuan tinggi dan bisa dipakai untuk semua misi dan efektif.   @prabowo @Kemhan_RI"
214,@CSintarani @Kemhan_RI @prabowo Kereeennn sekali...   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
215,@CSintarani @Kemhan_RI @prabowo Mantappp Pak Prabowo..   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
216,@MSApunya @prabowo Ogah 😁
217,@aryobimmo @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 potensi pertanhan itu tidak menggambarkan kondisi pertahanan saat ini. coba tmpilkan definisi potensi pertahanan. jgn satu slide anda kasih. anda pun sudah bilang sudah menjadi pembicara dan menyebutkan karena pulau buatan tiongkok?  emang tiongkok bukan musuh? coba bandingkan.
218,@RinaDiandra1 @Kemhan_RI @prabowo Salut sm Pak Prabowo  @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
219,#PrabowoBikinTerobosan  Prabowo Bikin Terobosan @prabowo  https://t.co/2kz5ao5IZX
220,@RinaDiandra1 @Kemhan_RI @prabowo Setuju sekali..   @kemhan_ri @prabowo  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuatekali
221,"Magnet @prabowo masih kuat, tapi berat menang  Hari Ini, Tepat 2 Tahun Jelang Pemilu 2024 (3): KedaiKOPI dan Trust Unggulkan Prabowo Disusul Anies Baswedan  https://t.co/1P2GC0r9P8"
222,"@kbnsumut @Kemhan_RI @prabowo Joss, Visi Keren Prabowo Subianto, sanggup memperkokoh persenjataan dengan teknologi tinggi dan mampu digunakan untuk berbagai misi dan efektif.  @Kemhan_RI @prabowo   Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
223,"Dua nama @ganjarpranowo dan @prabowo saling kejar2an di survey  Hari Ini, Tepat 2 Tahun Jelang Pemilu 2024 (2): Charta, SMRC dan Idikator Tempatkan Ganjar dan Prabowo Terkuat  https://t.co/sRbGQAmJVE"
224,"@aryobimmo @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 itu tau ada panas di lcs terus kenapa nanya lagi? emang perang ada yang tau kapan? pesawat temput kita aja masih kalah jumlah sama singapur yg negaranya hanya lebih besar idkit dari jakarta? dan emang beli pesawat pesan langsung diantar?  ""kalo gk ngerti diem"" itu strategi PR nya"
225,"@kbnsumut @Kemhan_RI @prabowo Salut, bukan tanggung jawab gampang untuk memastikan modernisasi persenjataan perang Indonesia. Visi Keren Prabowo Subianto.  @Kemhan_RI @prabowo   Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
226,"@Kbn_Sulbar @prabowo @Kemhan_RI Top, bukan tugas gampang untuk melakukan modernisasi persenjataan perang Indonesia. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
227,"@Kbn_sulsel @prabowo @Kemhan_RI Yess, Indonesia melakukan cara cerdas dengan rencananya membawa 42 Rafale dan dua Scorpene dari Prancis. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
228,@Kbn_sulsel @prabowo @Kemhan_RI Kok ga ada yg nyinyir ya...rakyat butuh makan bukan butuh pesawat 😄😄😄
229,"Sepakat, bukan tanggung jawab mudah untuk melakukan modernisasi persenjataan perang Indonesia. Visi Keren Prabowo Subianto  @prabowo  @Kemhan_RI"
230,"@Kbn_sulsel @prabowo @Kemhan_RI Top, bukan tanggung jawab mudah untuk mengawal memperbaharui persenjataan perang Indonesia. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
231,"@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Potensi pertahanan Indonesia masih cukup tinggi dibandingkan negara-negara ASEAN lain. Kenapa saya tanya konflik LCS antara siapa dengan siapa, ini menentukan seberapa urgent pembelanjaan ini di tengah pandemi. Gbar ini saya ambil dari analisa nya Andi Wijayanto, pengamat militer  https://t.co/tcd9xr95q9"
232,"@kbnsumut @Kemhan_RI @prabowo Emang sih, bukan tanggung jawab mudah untuk memastikan modernisasi persenjataan perang Indonesia. Visi Keren Prabowo Subianto.  @Kemhan_RI @prabowo   Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
233,"@Kbn_sulsel @prabowo @Kemhan_RI Guys, Indonesia bertemu permasalahan dan ancaman yang tidak kecil, dari Internal maupun eksternal terhadap kedaulatan. Visi Keren Prabowo Subianto, kita harus siaga.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
234,@Kbn_sulsel @prabowo @Kemhan_RI Betul nih. bukan tanggung jawab gampang untuk membangun memperbaharui persenjataan tempur Indonesia. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
235,"Salut, bukan tugas mudah untuk melakukan modernisasi persenjataan perang Indonesia. Visi Keren Prabowo Subianto.   @prabowo @Kemhan_RI"
236,Prabowo Bikin Trobosan Moderniasasi Senjata Kita  Makin Canggih Makin Kuat  Aku selalu suka kinerja bapak. @prabowo  @Kemhan_RI
237,"Keren nih, Visi Keren Prabowo Subianto sanggup memperkokoh alutsista dengan spesifikasi tinggi dan mampu digunakan untuk berbagai misi dan efektif.   @Kemhan_RI @prabowo   Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat  https://t.co/q0jdns5jTm"
238,"@kbnsumut @Kemhan_RI @prabowo Sepakat, bukan tanggung jawab mudah untuk membangun memperbaharui persenjataan tempur Indonesia. Visi Keren Prabowo Subianto.  @Kemhan_RI @prabowo   Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
239,"@abe_accord @prabowo @florence_parly Coba dulu, jangan jangan mancis korek api"
240,"@rizz1too @fadlizon Kalo Pak @prabowo nggak pakai buzzer buat muja2 dia, baru itu trobosan terbaru"
241,"@Kbn_sulsel @prabowo @Kemhan_RI Wowww, Kemhan melaksanakan keputusan strategis dengan rencananya membawa 42 Rafale dan dua Scorpene dari Prancis. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
242,"Sis, Diperlukan ruang fiskal yang lega menjawab harapan masyarakat agar TNI dapat memakai alutsista yg modern. Visi Keren Prabowo Subianto.   @prabowo  @Kemhan_RI"
243,"@kbnsumut @Kemhan_RI @prabowo Top, bukan sesuatu mudah untuk memastikan modernisasi persenjataan perang Indonesia. Visi Keren Prabowo Subianto.  @Kemhan_RI @prabowo   Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
244,"@Kbn_sulsel @prabowo @Kemhan_RI Sepakat, bukan pekerjaan mudah untuk mengawal modernisasi persenjataan perang Indonesia. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
245,"@kbnsumut @Kemhan_RI @prabowo Joss, Indonesia menjalankan langkah penting dengan rencananya memboyong 42 Rafale dan dua Scorpene dari Prancis. Visi Keren Prabowo Subianto.  @Kemhan_RI @prabowo   Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
246,@Shifabella7 @prabowo @Kemhan_RI Gille Ongkos terbangnya perjam 16500 dolar
247,"@Kbn_Sulut @prabowo @Kemhan_RI Bro, Bangsa ini melawan permasalahan dan ancaman yang tidak kecil, dari Internal maupun eksternal terhadap kedaulatan. Visi Keren Prabowo Subianto, kita harus siap.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
248,"@Kbn_sulsel @prabowo @Kemhan_RI Bro, Diperlukan ruang anggaran yang lega menjawab keinginan rakyat agar TNI dapat memakai alutsista yg mumpuni. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
249,"Joss, Visi Keren Prabowo Subianto, mampu memperkokoh alutsista dengan spesifikasi tinggi dan bisa digunakan untuk berbagai misi.  @prabowo  @Kemhan_RI"
250,"@Kbnjatim @prabowo @Kemhan_RI Ok banget, Visi Keren Prabowo Subianto, mampu memperkokoh alutsista dengan spesifikasi tinggi dan mampu dipakai untuk berbagai misi dan efektif.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
251,"@Kbn_sulsel @prabowo @Kemhan_RI Top, bukan hal gampang untuk melakukan memperbaharui alat utama sistem senjata (alutsista) Indonesia. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
252,"@Kbnjatim @prabowo @Kemhan_RI Guys, NKRI menghadapi masalah dan ancaman yang tidak mudah, dari Internal maupun luar, terhadap kedaulatan. Visi Keren Prabowo Subianto, kita harus siaga.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
253,@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Ini ngomongin strategi PR atau pertahanan negara? Saya tertarik jawaban anda. Yang anda tidak setujui dari pendapat PSI apa?
254,@Kbn_sulsel @prabowo @Kemhan_RI Beli dari prancis trus kalau suatu saat kita ribut dengan prancis apakah pesawat tersebut bisa di shut down atau minimal di restar oleh prancis? ada yang bisa jelaskan ini sumpah saya ngga paham beginian tapi kalau masalah kenapa kucing takut sama tikus saya dikit paham lah.✌️🏻🤣
255,"@Kbnyogya @prabowo @Kemhan_RI Bro, Diperlukan ruang fiskal yang cukup menjawab keinginan rakyat agar TNI dapat memakai alutsista yg mumpuni. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
256,"@Adityaaaa71 @prabowo @Kemhan_RI sis, Diperlukan ruang anggaran yang lega menjawab kemauan rakyat agar TNI dapat memakai alutsista yg canggih. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
257,"@kbnpapua_ @prabowo @Kemhan_RI Mantep, Indonesia melakukan keputusan penting dengan rencananya membawa 42 Rafale dan dua Scorpene dari Prancis. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
258,"@Belneg_INT @prabowo @Kemhan_RI Guys, Nusantara melawan tantangan dan ancaman yang tidak mudah, dari dalam maupun eksternal terhadap kedaulatan. Visi Keren Prabowo Subianto, kita harus siaga.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
259,"Pesanan 42 Jet Tempur dari Prancis Capai Rp68 Triliun, Anggota DPR Harapkan Ini dari Prabowo Subianto  https://t.co/2wP0oVNXAZ"
260,"@kbnpapuabrt @prabowo @Kemhan_RI Top, Visi Keren Prabowo Subianto, mampu membangun persenjataan dengan teknologi tinggi dan mampu digunakan untuk semua misi dan efektif.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
261,"@kbn_ntb @prabowo @Kemhan_RI Eh Bray, Indonesia bertemu tantangan dan ancaman yang tidak ringan, dari Internal maupun luar, terhadap kedaulatan. Visi Keren Prabowo Subianto, kita harus siaga.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
262,"@hanifyahyaasya1 @prabowo Setuju sih, Sayangnya prioritas belanja negara mungkin ""berbeda"""
263,"Pengamat: Gerindra Itu Anut Paham Demokrasi Minimalis, Calonkan Prabowo Empat Kali: Partai Gerindra disebut sebagai partai yang menganut paham demokrasi minimalis lantaran ingin lagi mencalonkan Prabowo Subianto…  https://t.co/TSdt2PsHQG #Politik #PrabowoSubianto #rayrangkuti"
264,"@Kbn_sulsel @prabowo @Kemhan_RI mantaapp, iya jangan apa"" cinaa muluu"
265,@sfi4ns @prabowo Ooh gitu... Semoga kebayar ya😔
266,cc @prabowo @Kemhan_RI @Gerindra 😁
267,Kok berani nya perang sama rakyat  @jokowi @prabowo @puanmaharani_ri @mohmahfudmd   Itu teroris papua basmi pak @RamliRizal @SBYudhoyono @ganjarpranowo
268,Betul nih. bukan pekerjaan gampang untuk melakukan memperbaharui persenjataan tempur Indonesia. Visi Keren Prabowo Subianto.  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat  @kemhan_ri @prabowo  https://t.co/4rivp4xNY3
269,"@Alumni_jateng @prabowo @Kemhan_RI Bro, Bangsa ini melawan masalah dan ancaman yang tidak mudah, dari dalam maupun eksternal terhadap kedaulatan. Visi Keren @prabowo Subianto, kita harus siaga. @Kemhan_RI  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
270,"@kbnmoloku @prabowo @Kemhan_RI Eh Bray, Bangsa ini melawan masalah dan ancaman yang tidak ringan, dari Internal maupun luar, terhadap kedaulatan. Visi Keren Prabowo Subianto, kita harus siap.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
271,"@Ary_pakeY @prabowo Ngutang, berjangka lama… skema kredit, kalo nda salah."
272,"@Kbn_sulsel @prabowo @Kemhan_RI Sekarang perangnya bukan dengan senjata, tpi dengan idiologis"
273,"Pak @prabowo , kalo 42 Rafale itu statusnya hutang atau gimana ya?  Serius nanya  https://t.co/iKL70gDeWl"
274,@MSApunya @prabowo dikemanain itu duit??
275,"@BantenKbn @prabowo @Kemhan_RI Emang sih, bukan pekerjaan gampang untuk melakukan modernisasi persenjataan perang Indonesia. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
276,"@Adityaaaa71 @prabowo @Kemhan_RI Top, bukan pekerjaan mudah untuk memastikan modernisasi alat utama sistem senjata (alutsista) Indonesia. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
277,"@Belneg_INT @prabowo @Kemhan_RI frend, Dibutuhkan ruang fiskal yang cukup menjawab mimpi rakyat agar TNI dapat menggunakan alutsista yg modern. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat"
278,@Adityaaaa71 @prabowo @Kemhan_RI Betul nih. bukan hal gampang untuk memastikan memperbaharui alat utama sistem senjata (alutsista) Indonesia. Visi Keren Prabowo Subianto.  @prabowo @Kemhan_RI Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat
279,"sis, Dibutuhkan ruang fiskal yang lega menjawab keinginan masyarakat agar TNI dapat memakai alutsista yg canggih. Visi Keren Prabowo Subianto.  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @prabowo @Kemhan_RI  https://t.co/iiMRqfRkpM"
280,"#Endonezya, Fransız şirketi Dassault ile 6 Rafale savaş uçağı satın alma sözleşmesi imzaladı.   💬 Savunma Bakanı Prabowo Subianto: 6 uçaklık ilk sözleşmenin imzalanmasıyla başladık ve bunu yakın gelecekte 36 uçak ile devam edecek sözleşmeler takip edecek.  https://t.co/APRZBud33r"
281,"Prabowo Bikin Trobosan Moderniasasi Senjata Kita  Makin Canggih Makin Kuat  Indonesia melawan ancaman yang tidak ringan dari dalam, maupun luar @prabowo  @Kemhan_RI   hormat!!!!"
282,@Kbn_sulsel @prabowo @Kemhan_RI Gak ada yang protes sama Prabowo? Fadli Zhong mana suaramu? Bukan lebih penting uangnya buat rakyat Zon?...Faisal Basri? Rizal Ramli mana komentarmu tentang pesawat? Jangan Jokowi jadi sasaran mu
