,tweet
45,@ChusnulCh__ @prabowo Klo serigala ya tetap serigala..ga akan berubah..jgn percaya si Prabowo..antek cendana
46,Mari kita dukung Prabowo Subianto - Yusuf Mansyur untuk Indonesia yg kaya...
47,"@Nicho_Silalahi @jokowi @prabowo @sandiuno Bauk taik mulut mu Nicho., Baru kau aku lihat orang Medan goblok"
48,Terima kasih kirimannya @Gerindra @prabowo 😊🫡  https://t.co/9i6hPZ3Ieo
49,@SantorinisSun @Gerindra @prabowo
50,@anto_winarno @Irwan2yah @ListyoSigitP @DivHumas_Polri @CCICPolri @Puspen_TNI @mohmahfudmd @prabowo @BNPTRI 😄😄😄
51,"@Nicho_Silalahi @jokowi @prabowo @sandiuno Gini nih kalau sdh bosan hidup miskin ! MISKIN dari lahir, sampai setua ini wajah nya pun tetap msh miskin ! SAMPAH ! HATOBAN alias BABU !"
52,"@Nicho_Silalahi @jokowi @prabowo @sandiuno Tampang mu saja kelihatan ANAK ORG SUSAH &amp; MELARAT ini si Nico BODAT/MONYET, tapi patantang-patenteng tdk tau diri ! Pasti emak nya pemakai subsidi tabung gas 3 kilo ! TIDAK TAU DIRI !"
53,"@Nicho_Silalahi @jokowi @prabowo @sandiuno Hahaha...DIKASIH MKN APA LAH SI NICO BODAT, MONYET INI SAMA ORG TUA NYA YA ???"
54,@Nicho_Silalahi @jokowi @prabowo @sandiuno Aktivis maling
55,@ChusnulCh__ @prabowo Hubungannya sama menhan apa buk
56,@sepatu_johnson Masakan emak wkwkwkwk @jokowi @ganjarpranowo @prabowo
57,@Utamajaya15 @prabowo @ganjarpranowo Yg jls saudara mudah dari pakde jokowi yg akan jadi presiden.lewat tra kakek moyang beliau...😁
58,@Irwan2yah @ListyoSigitP @DivHumas_Polri @CCICPolri @Puspen_TNI @mohmahfudmd @prabowo @BNPTRI Mau mati gagal Mulu dia😃
59,@Charactbit to the moon !!  @jokowi @prabowo @noviamelliaa   E8EtzG61mU623b8BCAfz4ySYGMTuVBDQBxcvNhi7Ewbe
60,"@SultraGerindra @prabowo @Gerindra Dah sepuh, cukup jadi bpk bangsa..., biarkan yg muda dan energik bekerja dan memajukan bangsa"
61,@Nicho_Silalahi @jokowi @prabowo @sandiuno SE7 BANGAT.
62,"@Nicho_Silalahi @jokowi @prabowo @sandiuno Sehat terus bg, perjuangan mu tak pernh usai"
63,"@mas_recruiter Itu dulu yg diusung menparekraf @Sandiuno dan menhan @prabowo, mereka sudah ada di pemerintahan kenapa nggak diterapkan?🤔"
64,@Irwan2yah @ListyoSigitP @DivHumas_Polri @CCICPolri @Puspen_TNI @mohmahfudmd @prabowo @BNPTRI Mana berani
65,"@detikcom Mnrt saya jika salah satu Mereka mencalonkan presiden @aniesbaswedan dan @prabowo maka 80% indonesia akan HANCUR, dari EKONOMI,Peperangan dimn-mn,rakyat tertindas,dan kelompok2/laskar2 tertentu akan bangkit kembali. dan menguasai brpa bidng Bisnis dan Daerah. @jokowi @tvOneNews"
66,"Direktur SPIN, Igor Dirgantara, mengatakan hasil survei tersebut menunjukkan bahwa tokoh-tokoh politik yang mencalonkan diri pada Pilpres 2024 akan kesulitan menghadapi Prabowo Subianto.   https://t.co/tF2iYlKFW1"
67,@Nicho_Silalahi @jokowi @prabowo @sandiuno Semakin stress dan semakin bego
68,@detikcom - Ganjar Pranowo - Erick Thohir - Prabowo Subianto - Puan Maharani - Jusuf Kalla - Surya Paloh
69,@PujiawatiRani @prabowo @Gerindra Yes.
70,@anisara_rahmah @prabowo @Gerindra  https://t.co/bgB6kxB57p
71,@SimpatisanTimur @prabowo @Gerindra  https://t.co/bgB6kxB57p
72,@ChusnulCh__ @prabowo Itu kan karena Ratna Sarumpaet saat itu sekutu Prabowo; sedangkan Ade kan gak ada hubungannya sm dia.
73,@Nicho_Silalahi @jokowi @prabowo @sandiuno Ternyata Nico ini Cina Ke....  https://t.co/H7ti5znTTi
74,2024 @prabowo dan @Gerindra akan tenggelam jika Prabowo puan dan ebaliknya jika @prabowo @sandiuno majukembali akan mampu bersaing dengan Anis AHY Akankah mimpi jadi kenyataan jika rasa takut menghantui sehingga akal tidak berfungsi
75,@jokowi @mohmahfudmd @prabowo @pramonoanung @KSPgoid @FraksiPKB @DPR_RI @mprgoid @ridwankamil
76,@Nicho_Silalahi @jokowi @prabowo @sandiuno Emang demo tgl 11 April kemarin gagal ya bang turunkan pak Jokowi?
77,"@SultraGerindra @prabowo @Gerindra buset buz3rr semua nih. untuk non-buz3rr sebelum milih yuk belajar sejarah doi, banyak bertebaran di internet. biar tau seperti apa makhluk ini wkwkw"
78,Nama Ganjar teratas di survei capres mengungguli Prabowo Subianto dan Anies Baswedan untuk wilayah Jateng dan NTT. Apa tanggapan Ganjar?   https://t.co/BFtsTLg2B4  Via @detik_jateng
79,"@SultraGerindra @prabowo @Gerindra Pilih Prabowo biar kaum kampret dan kaum kadrun makin sakit hati krn sblmnya mereka hina Prabowo dg sebutan pengkhianat. Sblmnya Jokowi terpilih berturut-turut jd presiden, mgkn esok Prabowo jd presiden. Kampret kadrun rame2 bunuh diri."
80,@ChusnulCh__ @prabowo Sudahlah jelas jelas kamu itu orang bo*oh tdk bisa bedakan jika kekerasan itu menimpa wanita atau pria
81,@ChusnulCh__ @prabowo Jenderal yg membagongkan
82,"@ChusnulCh__ @prabowo Bapak itu 100% cari aman, deket2 2024 jaga elektabilitas sambil lirak-lirik kiri-kanan, masih worthed gak gandengan sm kaum radikalis. Masih pantas gak yg model beginian jadi pemimpin negeri ?"
83,"@Irwan2yah @ListyoSigitP @DivHumas_Polri @CCICPolri @Puspen_TNI @mohmahfudmd @prabowo @BNPTRI Dah jelas gt koq, msh didiemin....ngenteni opo pak..."
84,@bud1_f1 @ChusnulCh__ @prabowo 👍👍
85,@Nicho_Silalahi @jokowi @prabowo @sandiuno Bodat
86,@sabiwir1 @prabowo @Gerindra @jokowi 👍
87,@Ivan23683770 @prabowo @Gerindra @jokowi 👍
88,@catthoon wowo @prabowo
89,@ChusnulCh__ @prabowo Gak usah heran... semua orang punya kepentingannya masing-masing. Termasuk anda.
90,"Survei Charta Politika Indonesia melakukan survei di Jawa Tengah, Kalimantan Timur, dan Nusa Tenggara Timur. Nama Ganjar Pranowo, Prabowo Subianto dan Anies Baswedan menjadi terpopuler.   https://t.co/rPs2LeKKDN"
91,"Saya pendukung bapak jokowi 2014 &amp; 2019 ,siap mendukung (PRAGA), (Prabowo Subianto &amp; Ganjar Pranowo) untuk presiden &amp; wakil presiden di 2024  https://t.co/5rSNrLvBV0"
92,@ChusnulCh__ @prabowo Two toes player
93,Ganjar Pranowo overtook Prabowo Subianto in survey:  https://t.co/SbF3eaJNJQ   Will Mega prioritize party or Puan?  Is the death sentence for rapist Herry Wirawan too harsh?  @theindochannel Apr 8 with @daltontanonaka &amp; Millie Lukito  https://t.co/QH9OlxEqU5  https://t.co/3fiFM0FgO0
94,@ChusnulCh__ @prabowo Pak Prabowo skrg menhan... Posisinya  beda waktu hoax ratna sarumpaet....
