username,tweet,geo
Taniaanandaa,"Ustaz Das'ad Latif memuji kedermawanan Prabowo Subianto, kendati jarang diekspos.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Ustaz Das'ad Latif memuji kedermawanan Prabowo Subianto, kendati jarang diekspos.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Pihaknya mengaku, juga bersama para pengurus BKPRMI lainnya, melihat sosok Prabowo sebagai sosok yang paling banyak manfaatnya bagi orang lain.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Sosok Pak Prabowo Subianto, sangat perhatian terhadap perjuangan dakwah dengan banyak memberikan bantuan,"" ucap Ustad Das'ad Latif.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Sosok Pak Prabowo Subianto, sangat perhatian terhadap perjuangan dakwah dengan banyak memberikan bantuan,"" ucap Ustad Das'ad Latif.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Menurut Ustad Das'ad Latif, Prabowo adalah tokoh negarawan yang peduli dengan Umat Islam.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Ustad Das'ad Latif memberikan penilaian kepada sosok Menteri Pertahanan RI, Prabowo Subianto Djojohadikusumo (PSD).  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Menurut Ustad Das'ad Latif, Prabowo adalah tokoh negarawan yang peduli dengan Umat Islam.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Ustad Das'ad Latif memberikan penilaian kepada sosok Menteri Pertahanan RI, Prabowo Subianto Djojohadikusumo (PSD).  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Da'i Kondang Ustad Das'ad Latif Sebut Prabowo Sosok yang Ikhlas Peduli Umat.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Da'i Kondang Ustad Das'ad Latif Sebut Prabowo Sosok yang Ikhlas Peduli Umat.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"""Mudah-mudahan kedepannya Indonesia dan Kazakstan dapat mengembangkan produksi bersama,” kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"“Dalam bidang industri pertahanan, Indonesia berharap dapat menjalin kerja sama melalui mekanisme alih teknologi,"" kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Mudah-mudahan kedepannya Indonesia dan Kazakstan dapat mengembangkan produksi bersama,” kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"“Dalam bidang industri pertahanan, Indonesia berharap dapat menjalin kerja sama melalui mekanisme alih teknologi,"" kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Prabowo berharap dapat menjajaki berbagai potensi kerjasama seperti pengembangan pendidikan militer, pengembangan teknologi pertahanan, dan peluang lain yang dapat dijajaki bersama.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Prabowo berharap dapat menjajaki berbagai potensi kerjasama seperti pengembangan pendidikan militer, pengembangan teknologi pertahanan, dan peluang lain yang dapat dijajaki bersama.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Prabowo menyampaikan terima kasih kepada Duta Besar Kazakhtan H.E. Daniyar Sarakenov yang telah berperan penting dan aktif dalam mensukseskan hubungan bilateral kedua negara.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Prabowo menyampaikan terima kasih kepada Duta Besar Kazakhtan H.E. Daniyar Sarakenov yang telah berperan penting dan aktif dalam mensukseskan hubungan bilateral kedua negara.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"Menhan Prabowo Subianto menjelaskan, dalam membangun kerja sama pertahanan, Indonesia berpedoman pada tiga pilar kebijakan.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Menhan Prabowo Subianto menjelaskan, dalam membangun kerja sama pertahanan, Indonesia berpedoman pada tiga pilar kebijakan.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Dalam pertemuan ini dibahas upaya membangun kerja sama pertahanan kedua negara.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Dalam pertemuan ini dibahas upaya membangun kerja sama pertahanan kedua negara.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"Menteri Pertahanan Republik Indonesia (Menhan RI) Prabowo Subianto menerima kunjungan Duta Besar Kazakhstan H.E. Mr Daniyar Sarakenov di Kemhan, Jakarta.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Menteri Pertahanan Republik Indonesia (Menhan RI) Prabowo Subianto menerima kunjungan Duta Besar Kazakhstan H.E. Mr Daniyar Sarakenov di Kemhan, Jakarta.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,Prabowo pun meminta kader yang ingin keluar dari Gerindra pergi dengan cara baik-baik.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Menhan Prabowo Subianto Terima Kunjungan Dubes Kazakhstan H.E. Mr Daniyar Sarakenov.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Menhan Prabowo Subianto Terima Kunjungan Dubes Kazakhstan H.E. Mr Daniyar Sarakenov.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Prabowo pun meminta kader yang ingin keluar dari Gerindra pergi dengan cara baik-baik.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"Bahkan, Prabowo tak akan gentar dan berhenti berjuang untuk bangsa dan negara.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Bahkan, Prabowo tak akan gentar dan berhenti berjuang untuk bangsa dan negara.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Prabowo mengaku siap apabila ditinggalkan para kader Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Prabowo mengaku siap apabila ditinggalkan para kader Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Prabowo menilai ada beberapa kader Gerindra yang keluar dari jalur sehingga salah jalan.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Prabowo menilai ada beberapa kader Gerindra yang keluar dari jalur sehingga salah jalan.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Ketua Umum Gerindra Prabowo Subianto sempat menyinggung ada kader partainya yang berkeinginan untuk bergabung dengan parpol lain.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Ketua Umum Gerindra Prabowo Subianto sempat menyinggung ada kader partainya yang berkeinginan untuk bergabung dengan parpol lain.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"""Ya saya kan menyampaikan apa yang disampaikan yang bersangkutan kepada Pak Prabowo. Bahwa kalau itu kemudian menjamin bahwa dia akan tetap, saya tidak bisa jamin,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Ya saya kan menyampaikan apa yang disampaikan yang bersangkutan kepada Pak Prabowo. Bahwa kalau itu kemudian menjamin bahwa dia akan tetap, saya tidak bisa jamin,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Yang bersangkutan itu kemudian menyatakan bahwa masih tunduk terhadap garis partai dan loyal kepada Pak Prabowo, serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
