username,tweet,geo
CalistaKaisa,"""Ya jadi kemarin memang Pak Sandi sudah minta waktu dan sudah diberi waktu dan sudah ketemu sama Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Sandi menegaskan loyalitasnya pada Gerindra dan mendukung pencalonan Prabowo di Pemilu Presiden (Pilpres) 2024.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Sandi menegaskan loyalitasnya pada Gerindra dan mendukung pencalonan Prabowo di Pemilu Presiden (Pilpres) 2024.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"Temui Prabowo, Sandiaga Tegaskan Loyalitasnya pada Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Temui Prabowo, Sandiaga Tegaskan Loyalitasnya pada Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Nama Prabowo masih teratas jelang Musra 13.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Nama Prabowo masih teratas jelang Musra 13.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"""(Pertemuan Prabowo dan Sandi) di Kertanegara, Selasa malam,"" kata Dahnil.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""(Pertemuan Prabowo dan Sandi) di Kertanegara, Selasa malam,"" kata Dahnil.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Kehadiran Sandiaga saat itu adalah untuk menemui Prabowo serta memberikan buku berjudul 1500 Inspirasi: Jelajah Perjalanan Sandiaga Uno.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Kehadiran Sandiaga saat itu adalah untuk menemui Prabowo serta memberikan buku berjudul 1500 Inspirasi: Jelajah Perjalanan Sandiaga Uno.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"Juru Bicara Prabowo Subianto, Dahnil Anzar Simanjuntak mengonfirmasi kedatangan Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Uno ke kediaman Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Juru Bicara Prabowo Subianto, Dahnil Anzar Simanjuntak mengonfirmasi kedatangan Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Uno ke kediaman Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Dan sudah diberi waktu dan sudah ketemu sama Pak Prabowo,"" imbuh Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Dan sudah diberi waktu dan sudah ketemu sama Pak Prabowo,"" imbuh Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Saya kan menyampaikan apa yang disampaikan bersangkutan kepada Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Yang bersangkutan itu menyatakan bahwa masih tunduk kepada garis partai dan loyal kepada Pak Prabowo serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Saya kan menyampaikan apa yang disampaikan bersangkutan kepada Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Yang bersangkutan itu menyatakan bahwa masih tunduk kepada garis partai dan loyal kepada Pak Prabowo serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Dalam pertemuan itu, Dasco mengklaim, Sandiaga menyatakan diri loyal kepada Gerindra dan Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Dalam pertemuan itu, Dasco mengklaim, Sandiaga menyatakan diri loyal kepada Gerindra dan Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Ketua Harian Partai Gerindra Sufmi Dasco Ahmad mengungkapkan isi pertemuan antara Ketua Umum Gerindra Prabowo Subianto dan Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Uno.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
jpnncom,"#BeritaJatim Musra XII Jatim, Sukarelawan Pekikkan Nama Prabowo Presiden #musrajatim  #prabowosubianto  https://t.co/WX5Gg9vo0j",
CalistaKaisa,Ketua Harian Partai Gerindra Sufmi Dasco Ahmad mengungkapkan isi pertemuan antara Ketua Umum Gerindra Prabowo Subianto dan Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Uno.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Gerindra Klaim Sandiaga Tetap Dukung Prabowo Jadi Capres.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Gerindra Klaim Sandiaga Tetap Dukung Prabowo Jadi Capres.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Koalisi ini belum mengumumkan sosok yang akan dipilih sebagai cawapres pendamping Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Koalisi ini belum mengumumkan sosok yang akan dipilih sebagai cawapres pendamping Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"Sebagai informasi, sejauh ini Gerindra sudah mendeklarasikan Prabowo Subianto sebagai capres 2024.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Sebagai informasi, sejauh ini Gerindra sudah mendeklarasikan Prabowo Subianto sebagai capres 2024.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Efriza pun menyebut Prabowo Subianto kini tengah mengintai sambil berharap Koalisi Perubahan yang ingin mengusung Anies Baswedan jadi capres 2024 gagal dideklarasikan.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"""Mereka lagi melihat-lihat peluang siapa yang bisa ditarik. Koalisi mana yang benar-benar bisa dirapuhkan. Target Gerindra mengharapkan kerapuhan koalisi Anies,"" kata Efriza.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Efriza juga menilai koalisi Gerindra-PKB cukup solid dalam menyongsong Pilpres 2024 mendatang.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,"""Mereka lagi melihat-lihat peluang siapa yang bisa ditarik. Koalisi mana yang benar-benar bisa dirapuhkan. Target Gerindra mengharapkan kerapuhan koalisi Anies,"" kata Efriza.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,Efriza pun menyebut Prabowo Subianto kini tengah mengintai sambil berharap Koalisi Perubahan yang ingin mengusung Anies Baswedan jadi capres 2024 gagal dideklarasikan.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
gardanasi0nal,Dalam upaya mempertahankan keamanan siber indonesia Pemerintah membentuk pasukan khusus (angkatan siber IV) dan akan membuka peluang untuk menjadi kebanggaan NKRI. siapa nih yang berminat ?  #infotech  @LemhannasRI @jokowi @prabowo @Kemendagri_RI  Alvin Kudela Super 1000 oma gill  https://t.co/Gp1K2R73fe,
Taniaanandaa,"Efriza pun menyebut, koalisi ini terkesan tanpa pergerakan lantaran masih mengamati partai politik mana yang bisa ditarik untuk bergabung bersama mereka.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Hendrikorachman,"Klausal kontrak investasi baik SDM/SDA hrs dibahas di @DPR_RI bu @puanmaharani_ri,apakah sdh sesuai dg UU +62 yg selama ini tdk tersentuh utk publik Cc @jokowi @mohmahfudmd @RamliRizal @bahlillahadalia @Kemhan_RI @prabowo @ListyoSigitP @DivHumas_Polri @ganjarpranowo @LaNyallaMM1",
CalistaKaisa,Efriza juga menilai koalisi Gerindra-PKB cukup solid dalam menyongsong Pilpres 2024 mendatang.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,"Efriza pun menyebut, koalisi ini terkesan tanpa pergerakan lantaran masih mengamati partai politik mana yang bisa ditarik untuk bergabung bersama mereka.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Kalau Gerindra dengan PKB saya rasa enggak bubar. PKB tetap solid dengan Gerindra,"" ucap Efriza.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Kalau Gerindra dengan PKB saya rasa enggak bubar. PKB tetap solid dengan Gerindra,"" ucap Efriza.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Pengamat Sebut Prabowo Sedang Mengintai, Menanti Koalisi Pengusung Anies Baswedan Bubar.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Pengamat Sebut Prabowo Sedang Mengintai, Menanti Koalisi Pengusung Anies Baswedan Bubar.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Ya saya kan menyampaikan apa yang disampaikan bersangkutan kepada Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Ya saya kan menyampaikan apa yang disampaikan bersangkutan kepada Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Menurut Dasco, dirinya hanya menyampaikan apa yang telah disampaikan Sandiaga kepada Prabowo di pertemuan itu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Menurut Dasco, dirinya hanya menyampaikan apa yang telah disampaikan Sandiaga kepada Prabowo di pertemuan itu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Hendrikorachman,@DivHumas_Polri pk @ListyoSigitP &amp; pk @bahlillahadalia cek TKA china apakah mereka pekerja kasar/ bukan. Org punya keahlian tdk mungkin anarkis dlm bekerja kecuali pekerja kasar/oknum militer Cc @jokowi @mohmahfudmd @puanmaharani_ri @RamliRizal @airlangga_hrt @Kemhan_RI @prabowo,
Taniaanandaa,"""Yang bersangkutan menyatakan masih tunduk kepada garis partai dan loyal kepada Pak Prabowo serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Yang bersangkutan menyatakan masih tunduk kepada garis partai dan loyal kepada Pak Prabowo serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Dalam pertemuan tersebut, Sandiaga menegaskan loyalitasnya pada Gerindra dan mendukung pencalonan Prabowo di Pemilu Presiden (Pilpres) 2024.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Jadi kemarin memang Pak Sandi sudah minta waktu dan sudah diberi waktu dan sudah ketemu sama Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Jadi kemarin memang Pak Sandi sudah minta waktu dan sudah diberi waktu dan sudah ketemu sama Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Dalam pertemuan tersebut, Sandiaga menegaskan loyalitasnya pada Gerindra dan mendukung pencalonan Prabowo di Pemilu Presiden (Pilpres) 2024.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Uno menemui Ketua Umumnya (Ketum) Prabowo Subianto, beberapa waktu lalu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Uno menemui Ketua Umumnya (Ketum) Prabowo Subianto, beberapa waktu lalu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Sandiaga Bertemu Prabowo, Tegaskan Loyalitasnya pada Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Sandiaga Bertemu Prabowo, Tegaskan Loyalitasnya pada Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Setahu saya sudah ketemu. Ya pokoknya keduanya saling bertabayun, mengonfirmasi, menjelaskan dan insya Allah semuanya baik baik saja,"" tutur Muzani.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Menurut Muzani, Sandiaga temui Prabowo untuk klarifikasi isu dirinya akan bergabung dengan PPP.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Setahu saya sudah ketemu. Ya pokoknya keduanya saling bertabayun, mengonfirmasi, menjelaskan dan insya Allah semuanya baik baik saja,"" tutur Muzani.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Muzani mengatakan, hubungan antara Sandiaga dan Prabowo dipastikan baik-baik saja.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Muzani mengatakan, hubungan antara Sandiaga dan Prabowo dipastikan baik-baik saja.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Menurut Muzani, Sandiaga temui Prabowo untuk klarifikasi isu dirinya akan bergabung dengan PPP.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Sebelumnya, Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno sudah bertemu dengan Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Sebelumnya, Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno sudah bertemu dengan Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Ia hanya berpeluang pindah dari Gerindra bila idealismenya sudah tak mungkin lagi dapat diwujudkan di partai yang dipimpin Prabowo Subianto tersebut,"" ujar Jamiluddin.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Ia hanya berpeluang pindah dari Gerindra bila idealismenya sudah tak mungkin lagi dapat diwujudkan di partai yang dipimpin Prabowo Subianto tersebut,"" ujar Jamiluddin.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Pertemuan yang diinisiasi Sandiaga itu tampaknya ingin mengklarifikasi rumor kepindahannya ke PPP. Tampaknya sudah tak ada masalah di antara dua elite Gerindra itu,"" kata Jamiluddin.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Temui Prabowo Klarifikasi Isu Loncat ke PPP, Begini Prediksi Nasib Sandiaga di Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Nggak ada niatan buat ajarin pak Prabowo mas??"" ucap netizen.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Nggak ada niatan buat ajarin pak Prabowo mas??"" ucap netizen.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Kayaknya di video selanjutnya Pak Prabowo malah ikutan main lato-lato,"" ujar netizen.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Kayaknya di video selanjutnya Pak Prabowo malah ikutan main lato-lato,"" ujar netizen.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Ada pula netizen yang membayangkan bagaimana jika Prabowo ikut mencoba main lato-lato bersama Rizky.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Ada pula netizen yang membayangkan bagaimana jika Prabowo ikut mencoba main lato-lato bersama Rizky.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Beberapa dari netizen banyak yang penasaran dengan reaksi Prabowo dari kelanjutan kisah terpergoknya Rizky saat bermain lato-lato.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Beberapa dari netizen banyak yang penasaran dengan reaksi Prabowo dari kelanjutan kisah terpergoknya Rizky saat bermain lato-lato.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"""Siap salah pak Prabowo. Semua gara lato-lato,"" tulis Rizky.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Siap salah pak Prabowo. Semua gara lato-lato,"" tulis Rizky.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Mengetahui hal itu, Rizky langsung berhenti dan semringah ke arah Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Saat pantulan bola lato-lato itu semakin kencang digerakkan, tiba-tiba dari kejauhan Prabowo tampak berjalan melewati lorong.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Mengetahui hal itu, Rizky langsung berhenti dan semringah ke arah Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Prabowo pun menengok ke arah suara lato-lato yang dimainkan asprinya.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Prabowo pun menengok ke arah suara lato-lato yang dimainkan asprinya.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"Saat pantulan bola lato-lato itu semakin kencang digerakkan, tiba-tiba dari kejauhan Prabowo tampak berjalan melewati lorong.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Dilihat dari video aspri Prabowo melalui Instagram Rizky yang mengenakan baju safari cokelat dan duduk di teras itu tampak memegang lato-lato warna merah muda.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Prabowo Subianto pun sampai memergoki asisten pribadi (aspri) Rizky Irmansyah yang mencoba memainkan lato-lato.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Dilihat dari video aspri Prabowo melalui Instagram Rizky yang mengenakan baju safari cokelat dan duduk di teras itu tampak memegang lato-lato warna merah muda.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
joktry,"@Yurissa_Samosir Prof @mohmahfudmd , @jokowi , @prabowo , @sandiuno , @erickthohir , apakah bapak ² sepakat bahwa Anies Baswedan berpotensi jadi pemecah belah persatuan?  Kalo bapak ² tidak sepakat, harusnya bapak ² menghimbau kepada masyarakat untuk tidak bikin spanduk provokasi seperti di atas",
CalistaKaisa,Prabowo Subianto pun sampai memergoki asisten pribadi (aspri) Rizky Irmansyah yang mencoba memainkan lato-lato.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,Momen Kocak saat Prabowo Pergoki Aspri Main Lato-Lato.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
AdrianaDaneen,"Muzani: Sepanjang Hidupnya, Pengabdian Prabowo Subianto Tidak Pernah Usai untuk Bangsa dan Negara. #RelaBerkorban #kerjasama    https://t.co/iFu6u2Qe1N",
CalistaKaisa,Momen Kocak saat Prabowo Pergoki Aspri Main Lato-Lato.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
