username,tweet,location
Taniaanandaa,"""Sosok Pak Prabowo Subianto, sangat perhatian terhadap perjuangan dakwah dengan banyak memberikan bantuan,"" ucap Ustad Das'ad Latif.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
CalistaKaisa,"""Sosok Pak Prabowo Subianto, sangat perhatian terhadap perjuangan dakwah dengan banyak memberikan bantuan,"" ucap Ustad Das'ad Latif.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
Taniaanandaa,"Menurut Ustad Das'ad Latif, Prabowo adalah tokoh negarawan yang peduli dengan Umat Islam.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
Taniaanandaa,"Ustad Das'ad Latif memberikan penilaian kepada sosok Menteri Pertahanan RI, Prabowo Subianto Djojohadikusumo (PSD).  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
CalistaKaisa,"Menurut Ustad Das'ad Latif, Prabowo adalah tokoh negarawan yang peduli dengan Umat Islam.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
CalistaKaisa,"Ustad Das'ad Latif memberikan penilaian kepada sosok Menteri Pertahanan RI, Prabowo Subianto Djojohadikusumo (PSD).  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
Taniaanandaa,Da'i Kondang Ustad Das'ad Latif Sebut Prabowo Sosok yang Ikhlas Peduli Umat.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,SUMATERA BARAT
CalistaKaisa,Da'i Kondang Ustad Das'ad Latif Sebut Prabowo Sosok yang Ikhlas Peduli Umat.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,SUMATERA BARAT
Taniaanandaa,"""Mudah-mudahan kedepannya Indonesia dan Kazakstan dapat mengembangkan produksi bersama,” kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
Taniaanandaa,"“Dalam bidang industri pertahanan, Indonesia berharap dapat menjalin kerja sama melalui mekanisme alih teknologi,"" kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
CalistaKaisa,"""Mudah-mudahan kedepannya Indonesia dan Kazakstan dapat mengembangkan produksi bersama,” kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
CalistaKaisa,"“Dalam bidang industri pertahanan, Indonesia berharap dapat menjalin kerja sama melalui mekanisme alih teknologi,"" kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
Taniaanandaa,"Prabowo berharap dapat menjajaki berbagai potensi kerjasama seperti pengembangan pendidikan militer, pengembangan teknologi pertahanan, dan peluang lain yang dapat dijajaki bersama.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
CalistaKaisa,"Prabowo berharap dapat menjajaki berbagai potensi kerjasama seperti pengembangan pendidikan militer, pengembangan teknologi pertahanan, dan peluang lain yang dapat dijajaki bersama.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",SUMATERA BARAT
